DATAFLOW,LAST UPDATE,freq,bmi,isced11,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Euro area – 20 countries (2023-2025),2022,40.6,e,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Euro area – 20 countries (2023-2025),2025,37.8,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Euro area – 21 countries (from 2026),2025,38.0,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Estonia,2017,44.6,u,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Estonia,2022,37.6,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Estonia,2025,40.6,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Greece,2017,50.4,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Greece,2022,51.1,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Greece,2025,46.3,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Spain,2017,49.0,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Spain,2022,42.6,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Spain,2025,42.0,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,European Union - 27 countries (from 2020),2017,44.2,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,European Union - 27 countries (from 2020),2022,42.1,e,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,European Union - 27 countries (from 2020),2025,40.0,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Finland,2017,39.6,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Finland,2022,41.7,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Finland,2025,37.5,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,France,2017,39.3,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,France,2022,36.5,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,France,2025,37.2,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Croatia,2017,53.8,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Croatia,2022,51.4,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Croatia,2025,49.4,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Hungary,2017,43.7,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Hungary,2022,47.3,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Hungary,2025,44.0,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Ireland,2017,36.3,u,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Ireland,2022,33.8,u,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Ireland,2025,36.1,u,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Iceland,2017,42.5,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Iceland,2022,51.1,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Italy,2017,39.4,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Italy,2022,44.2,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Italy,2025,38.4,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Lithuania,2017,47.7,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Lithuania,2022,41.8,u,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Lithuania,2025,43.6,pu,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Luxembourg,2017,37.6,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Luxembourg,2022,41.1,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Luxembourg,2025,41.1,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Latvia,2017,40.2,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Latvia,2022,41.1,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Latvia,2025,40.1,,
ESTAT:ILC_HCH10$DEFAULTVIEW(1.0),08/06/26 23:00:00,Annual,Pre-obese,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Total,75 years or over,Percentage,Montenegro,2017,45.9,,
